id,nombre,programa,anio,fuente,definicion,metodo_calculo,unidad_medida,nivel,notas,ultima_actualizacion
porcentaje-de-auditores-ambientales-supervisados-g005-2025,Porcentaje de auditores ambientales supervisados.,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",(Numero de Auditores Ambientales supervisados en el periodo t/ Número de Auditores Ambientales vigentes en el periodo t) * 100,Porcentaje,Actividad,,2026-02-05
porcentaje-de-acciones-de-supervision-a-procesos-de-certific-g005-2025,Porcentaje de acciones de supervisión a procesos de certificación y reconocimiento realizadas.,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",[(Número de procesos de certificación y reconocimiento supervisados en el periodo t) / (Número de procesos de certificación y reconocimiento programados en el periodo t)] x 100,Porcentaje,Actividad,,2026-02-05
porcentaje-de-acciones-de-promocion-para-la-certificacion-am-g005-2025,Porcentaje de acciones de promoción para la certificación ambiental,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",(Número de acciones de promoción realizadas en el periodo t/ Número de acciones de promoción programadas en el periodo t)*100.,Porcentaje,Actividad,,2026-02-05
porcentaje-de-acciones-de-inspeccion-y-verificacion-realizad-g005-2025,"Porcentaje de acciones de Inspección y verificación realizadas sobre la cuales la PROFEPA tiene competencia como autoridad, conforme a las prioridades de la estrategia establecida en materia de inspec",G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",(Número de acciones de inspección y/o verificación realizadas en materia industrial en el periodo t/Total de acciones de inspección y/o verificación programadas en materia industrial en el periodo t) *100,Porcentaje,Actividad,,2026-02-05
porcentaje-de-recorridos-de-vigilancia-realizados-en-materia-g005-2025,Porcentaje de recorridos de vigilancia realizados en materia de recursos naturales,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",[(Número de recorridos de vigilancia realizados en materia de recursos naturales en el período t) / (Número de recorridos de vigilancia programados en materia de recursos naturales en el período t)] *100,Porcentaje,Actividad,,2026-02-05
porcentaje-de-inspecciones-realizadas-en-materia-de-recurso-g005-2025,Porcentaje de  inspecciones realizadas en materia de recursos naturales,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",[(Número de inspecciones realizadas en materia de recursos naturales en el periodo t ) / (Total de inspecciones programadas en materia de recursos naturales en el periodo t)] *100,Porcentaje,Actividad,,2026-02-05
porcentaje-de-comites-de-vigilancia-ambiental-participativa-g005-2025,Porcentaje de comités de vigilancia ambiental participativa en operación,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",[(Número de comités de vigilancia ambiental participativa en operación en el periodo t) / (Número de comités de vigilancia ambiental participativa programados en el periodo t)] *100,Porcentaje,Actividad,,2026-02-05
porcentaje-de-operativos-realizados-en-materia-de-recursos-n-g005-2025,Porcentaje de operativos realizados en materia de recursos naturales,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",(Número de operativos realizados en materia de recursos naturales en el periodo t) / (Total de operativos programados en materia de recursos naturales en el periodo t) * 100,Porcentaje,Actividad,,2026-02-05
porcentaje-de-revision-de-mercancias-cuya-importacion-expor-g005-2025,"Porcentaje de revisión de mercancías cuya importación, exportación y reexportación está sujeta a regulación por parte de la Secretaría de Medio Ambiente y Recursos Naturales.",G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",(Número de productos regulados revisados en los registros de verificación que cumplen con la normatividad en el periodo t / Número de productos revisados en el periodo t) *100,Porcentaje,Actividad,,2026-02-05
porcentaje-personas-contactadas-en-las-jornadas-ambientales-g005-2025,Porcentaje personas contactadas en las Jornadas Ambientales,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",[(Número de personas contactadas en acciones de difusión y promoción de la denuncia popular en el periodo t) / (Número de personas programadas a contactar en acciones de difusión y promoción de la denuncia popular en el periodo t)] x 100,Porcentaje,Actividad,,2026-02-05
porcentaje-de-resolucion-a-las-solicitudes-de-conmutacion-de-g005-2025,Porcentaje de resolución a las solicitudes de conmutación de multas,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A 1 Supervisión del proceso de certificación y de auditores, incluyendo la promoción e impulso a las empresas para certificarse ambientalmente.",[(Número de resoluciones a las solicitudes de conmutación de multas en trámite en el periodo t) / (Número de solicitudes de conmutación de multas en trámite en el periodo t)] x 100,Porcentaje,Actividad,,2026-02-05
